GISJOIN,YEAR,STUSAB,ANRCA,AIANHHA,RES_ONLYA,TRUSTA,AIANCC,RES_TRSTA,BLOCKA,BLCK_GRPA,TRACTA,CD101A,C_CITYA,CMSA,COUNTY,COUNTYA,CTY_SUBA,COUSUBCC,DIVISIONA,MSA_CMSAA,PLACEA,PLACECC,PLACEDC,PMSAA,REGIONA,STATE,STATEA,URBRURALA,URB_AREAA,CD103A,AREALAND,AREAWAT,ANPSADPI,FUNCSTAT,INTPTLAT,INTPTLNG,PSADC,ESA001
"G480005000053","1990","TX",,,,,,,,"3","0005",,,"99","Angelina","005",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000000619","0000000000","BG 3","S","+31355955","-094736577",,263
"G480005000054","1990","TX",,,,,,,,"4","0005",,,"99","Angelina","005",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000000752","0000000000","BG 4","S","+31351107","-094727891",,415
"G480005000055","1990","TX",,,,,,,,"5","0005",,,"99","Angelina","005",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000000364","0000000000","BG 5","S","+31349518","-094734536",,285
"G480005000061","1990","TX",,,,,,,,"1","0006",,,"99","Angelina","005",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000005130","0000000000","BG 1","S","+31362897","-094702438",,501
"G480005000062","1990","TX",,,,,,,,"2","0006",,,"99","Angelina","005",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000001141","0000000000","BG 2","S","+31346730","-094713043",,447
"G480005000063","1990","TX",,,,,,,,"3","0006",,,"99","Angelina","005",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000003775","0000000000","BG 3","S","+31346732","-094688025",,480
"G480005000064","1990","TX",,,,,,,,"4","0006",,,"99","Angelina","005",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000004445","0000000000","BG 4","S","+31337450","-094699456",,472
"G480005000071","1990","TX",,,,,,,,"1","0007",,,"99","Angelina","005",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000001144","0000000000","BG 1","S","+31343997","-094723419",,479
"G480005000072","1990","TX",,,,,,,,"2","0007",,,"99","Angelina","005",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000000905","0000000000","BG 2","S","+31335912","-094725275",,454
"G480005000074","1990","TX",,,,,,,,"4","0007",,,"99","Angelina","005",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000000949","0000000000","BG 4","S","+31328293","-094730262",,497
"G480005000081","1990","TX",,,,,,,,"1","0008",,,"99","Angelina","005",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000001170","0000000024","BG 1","S","+31331597","-094714150",,306
"G480005000082","1990","TX",,,,,,,,"2","0008",,,"99","Angelina","005",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000003586","0000000000","BG 2","S","+31322009","-094695281",,515
"G480005000083","1990","TX",,,,,,,,"3","0008",,,"99","Angelina","005",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000000837","0000000000","BG 3","S","+31319183","-094707080",,326
"G480005000084","1990","TX",,,,,,,,"4","0008",,,"99","Angelina","005",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000002369","0000000000","BG 4","S","+31318250","-094717629",,247
"G480005000085","1990","TX",,,,,,,,"5","0008",,,"99","Angelina","005",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000010032","0000000034","BG 5","S","+31300559","-094709265",,825
"G480005000091","1990","TX",,,,,,,,"1","0009",,,"99","Angelina","005",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000003584","0000000000","BG 1","S","+31313161","-094765409",,663
"G480005000092","1990","TX",,,,,,,,"2","0009",,,"99","Angelina","005",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000001492","0000000000","BG 2","S","+31324320","-094744724",,395
"G480005000093","1990","TX",,,,,,,,"3","0009",,,"99","Angelina","005",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000002443","0000000000","BG 3","S","+31314454","-094731438",,589
"G480005000094","1990","TX",,,,,,,,"4","0009",,,"99","Angelina","005",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000000964","0000000000","BG 4","S","+31316783","-094743341",,224
"G480005000095","1990","TX",,,,,,,,"5","0009",,,"99","Angelina","005",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000001632","0000000000","BG 5","S","+31313443","-094753135",,369
"G480005000096","1990","TX",,,,,,,,"6","0009",,,"99","Angelina","005",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000010642","0000000083","BG 6","S","+31282555","-094727651",,1255
"G480005000101","1990","TX",,,,,,,,"1","0010",,,"99","Angelina","005",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000074911","0000002688","BG 1","S","+31206947","-094814920",,544
"G480005000102","1990","TX",,,,,,,,"2","0010",,,"99","Angelina","005",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000221708","0000000086","BG 2","S","+31171527","-094709420",,674
"G480005000103","1990","TX",,,,,,,,"3","0010",,,"99","Angelina","005",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000004127","0000000064","BG 3","S","+31199891","-094787602",,266
"G480005000104","1990","TX",,,,,,,,"4","0010",,,"99","Angelina","005",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000003892","0000000000","BG 4","S","+31188905","-094776258",,488
"G480005000105","1990","TX",,,,,,,,"5","0010",,,"99","Angelina","005",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000002149","0000000000","BG 5","S","+31174213","-094785316",,355
"G480005000106","1990","TX",,,,,,,,"6","0010",,,"99","Angelina","005",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000001816","0000000000","BG 6","S","+31175085","-094794740",,416
"G480005000111","1990","TX",,,,,,,,"1","0011",,,"99","Angelina","005",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000151262","0000022546","BG 1","S","+31364176","-094552508",,651
"G480005000112","1990","TX",,,,,,,,"2","0011",,,"99","Angelina","005",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000079104","0000000119","BG 2","S","+31259760","-094625941",,848
"G480005000113","1990","TX",,,,,,,,"3","0011",,,"99","Angelina","005",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000010853","0000000000","BG 3","S","+31291393","-094576564",,320
"G480005000114","1990","TX",,,,,,,,"4","0011",,,"99","Angelina","005",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000015231","0000000000","BG 4","S","+31285582","-094558449",,641
"G480005000115","1990","TX",,,,,,,,"5","0011",,,"99","Angelina","005",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000096049","0000033753","BG 5","S","+31277964","-094470641",,494
"G480005000116","1990","TX",,,,,,,,"6","0011",,,"99","Angelina","005",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000035378","0000000000","BG 6","S","+31260593","-094430705",,297
"G480005000117","1990","TX",,,,,,,,"7","0011",,,"99","Angelina","005",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000259568","0000000209","BG 7","S","+31136247","-094551147",,403
"G480005000121","1990","TX",,,,,,,,"1","0012",,,"99","Angelina","005",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000055167","0000000027","BG 1","S","+31216901","-094425077",,221
"G480005000122","1990","TX",,,,,,,,"2","0012",,,"99","Angelina","005",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000034615","0000016489","BG 2","S","+31189142","-094366414",,809
"G480005000123","1990","TX",,,,,,,,"3","0012",,,"99","Angelina","005",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000235911","0000000133","BG 3","S","+31111839","-094393919",,373
"G480005000124","1990","TX",,,,,,,,"4","0012",,,"99","Angelina","005",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000072407","0000082215","BG 4","S","+31103612","-094229070",,397
"G480007095011","1990","TX",,,,,,,,"1","9501",,,"99","Aransas","007",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000328610","0000514173","BG 1","S","+28063660","-096929659",,380
"G480007095012","1990","TX",,,,,,,,"2","9501",,,"99","Aransas","007",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000124707","0000000160","BG 2","S","+28239184","-097039588",,591
"G480007095013","1990","TX",,,,,,,,"3","9501",,,"99","Aransas","007",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000014297","0000067884","BG 3","S","+28127418","-097061681",,818
"G480007095014","1990","TX",,,,,,,,"4","9501",,,"99","Aransas","007",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000007967","0000043530","BG 4","S","+28086522","-097125343",,746
"G480007095015","1990","TX",,,,,,,,"5","9501",,,"99","Aransas","007",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000001150","0000000000","BG 5","S","+28069850","-097036370",,407
"G480007095016","1990","TX",,,,,,,,"6","9501",,,"99","Aransas","007",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000000661","0000000000","BG 6","S","+28057366","-097037388",,264
"G480007095021","1990","TX",,,,,,,,"1","9502",,,"99","Aransas","007",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000001727","0000000135","BG 1","S","+28042836","-097037581",,710
"G480007095022","1990","TX",,,,,,,,"2","9502",,,"99","Aransas","007",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000000852","0000017187","BG 2","S","+28023933","-097023857",,733
"G480007095031","1990","TX",,,,,,,,"1","9503",,,"99","Aransas","007",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000013298","0000000045","BG 1","S","+28045299","-097062047",,904
"G480007095032","1990","TX",,,,,,,,"2","9503",,,"99","Aransas","007",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000001508","0000000000","BG 2","S","+28034019","-097049473",,521
"G480007095033","1990","TX",,,,,,,,"3","9503",,,"99","Aransas","007",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000000709","0000000176","BG 3","S","+28022621","-097051823",,145
"G480007095034","1990","TX",,,,,,,,"4","9503",,,"99","Aransas","007",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000001406","0000000000","BG 4","S","+28029154","-097060940",,546
"G480007095041","1990","TX",,,,,,,,"1","9504",,,"99","Aransas","007",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000000856","0000000000","BG 1","S","+28017304","-097056897",,522
"G480007095042","1990","TX",,,,,,,,"2","9504",,,"99","Aransas","007",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000001708","0000000000","BG 2","S","+28014658","-097067029",,399
"G480007095043","1990","TX",,,,,,,,"3","9504",,,"99","Aransas","007",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000002414","0000000000","BG 3","S","+28023332","-097081838",,521
"G480007095044","1990","TX",,,,,,,,"4","9504",,,"99","Aransas","007",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000001030","0000000000","BG 4","S","+28008884","-097061129",,331
"G480007095051","1990","TX",,,,,,,,"1","9505",,,"99","Aransas","007",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000103122","0000067324","BG 1","S","+28008519","-097121289",,1121
"G480007095052","1990","TX",,,,,,,,"2","9505",,,"99","Aransas","007",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000022482","0000002042","BG 2","S","+27974544","-097181432",,26
"G480007095053","1990","TX",,,,,,,,"3","9505",,,"99","Aransas","007",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000021601","0000000989","BG 3","S","+27946237","-097133971",,802
"G480007095054","1990","TX",,,,,,,,"4","9505",,,"99","Aransas","007",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000002456","0000001327","BG 4","S","+27913600","-097132283",,402
